id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
37,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,4.475,2.184,0.005,0.009000000000000001,Use all features from features_used field
38,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,1254.745,483.239,1.426,1.918,Use all features from features_used field
39,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,0.0,0.0,0.0,0.0,Use all features from features_used field
40,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,-96.337,200.333,0.076,1.682,Use all features from features_used field
41,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,22.682,-6.6960000000000015,0.16699999999999998,0.485,Use all features from features_used field
42,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,3230.522,424.598,4.038,2.667,Use all features from features_used field
43,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,1450.682,687.6469999999997,1.6569999999999998,2.938,Use all features from features_used field
44,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,181.992,79.594,0.396,0.809,Use all features from features_used field
45,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,5.314,221.627,0.171,1.827,Use all features from features_used field
46,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,314.057,1168.114,0.391,4.879,Use all features from features_used field
47,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,140.148,950.3919999999999,0.179,3.7739999999999996,Use all features from features_used field
48,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,2208.526,220.773,2.845,1.875,Use all features from features_used field
