account_value,datadate,daily_return,Date
1574762.262338808,20171228,0.0006767414408390682,2017-12-28
1569182.1623827205,20171229,-0.003543455472320045,2017-12-29
1580060.0835413162,20180102,0.006932223306743479,2018-01-02
1580060.0835413162,20180103,0.0,2018-01-03
1584788.6150590729,20180104,0.0029926276646130567,2018-01-04
1596877.5033401628,20180105,0.007628076177616405,2018-01-05
1595280.6360698869,20180108,-0.000999993591828896,2018-01-08
1595280.6360698869,20180109,0.0,2018-01-09
1595280.6360698869,20180110,0.0,2018-01-10
1595280.6360698869,20180111,0.0,2018-01-11
1595280.6360698869,20180112,0.0,2018-01-12
1595280.6360698869,20180116,0.0,2018-01-16
1595280.6360698869,20180117,0.0,2018-01-17
1595280.6360698869,20180118,0.0,2018-01-18
1595280.6360698869,20180119,0.0,2018-01-19
1595280.6360698869,20180122,0.0,2018-01-22
1595280.6360698869,20180123,0.0,2018-01-23
1595280.6360698869,20180124,0.0,2018-01-24
1595280.6360698869,20180125,0.0,2018-01-25
1595280.6360698869,20180126,0.0,2018-01-26
1595280.6360698869,20180129,0.0,2018-01-29
1595280.6360698869,20180130,0.0,2018-01-30
1595280.6360698869,20180131,0.0,2018-01-31
1595280.6360698869,20180201,0.0,2018-02-01
1595280.6360698869,20180202,0.0,2018-02-02
1595280.6360698869,20180205,0.0,2018-02-05
1595280.6360698869,20180206,0.0,2018-02-06
1595280.6360698869,20180207,0.0,2018-02-07
1595280.6360698869,20180208,0.0,2018-02-08
1595280.6360698869,20180209,0.0,2018-02-09
1595280.6360698869,20180212,0.0,2018-02-12
1595280.6360698869,20180213,0.0,2018-02-13
1595280.6360698869,20180214,0.0,2018-02-14
1595280.6360698869,20180215,0.0,2018-02-15
1595280.6360698869,20180216,0.0,2018-02-16
1595280.6360698869,20180220,0.0,2018-02-20
1595280.6360698869,20180221,0.0,2018-02-21
1595280.6360698869,20180222,0.0,2018-02-22
1595280.6360698869,20180223,0.0,2018-02-23
1595280.6360698869,20180226,0.0,2018-02-26
1595280.6360698869,20180227,0.0,2018-02-27
1595280.6360698869,20180228,0.0,2018-02-28
1595280.6360698869,20180301,0.0,2018-03-01
1595280.6360698869,20180302,0.0,2018-03-02
1595280.6360698869,20180305,0.0,2018-03-05
1595280.6360698869,20180306,0.0,2018-03-06
1595280.6360698869,20180307,0.0,2018-03-07
1595280.6360698869,20180308,0.0,2018-03-08
1595280.6360698869,20180309,0.0,2018-03-09
1595280.6360698869,20180312,0.0,2018-03-12
1595280.6360698869,20180313,0.0,2018-03-13
1595280.6360698869,20180314,0.0,2018-03-14
1595280.6360698869,20180315,0.0,2018-03-15
1595280.6360698869,20180316,0.0,2018-03-16
1593209.6342154853,20180319,-0.0012982053486862988,2018-03-19
1593498.7423488405,20180320,0.00018146270719587854,2018-03-20
1592099.9625013208,20180321,-0.0008778041741394071,2018-03-21
1582255.397255226,20180322,-0.0061833838816427455,2018-03-22
1574669.314934175,20180323,-0.004794473973172009,2018-03-23
1589441.6200948493,20180326,0.009381211039406034,2018-03-26
1578460.892276914,20180327,-0.0069085442831677835,2018-03-27
1575848.0864616209,20180328,-0.0016552870128598851,2018-03-28
1584666.7061780714,20180329,0.005596110305436719,2018-03-29
1569809.5645638634,20180402,-0.00937556241718529,2018-04-02
1581997.7790138284,20180403,0.007764135679317885,2018-04-03
1592770.372850434,20180404,0.006809487332732456,2018-04-04
1592770.372850434,20180405,0.0,2018-04-05
1578384.2148526958,20180406,-0.009032160720061966,2018-04-06
1583009.9525726235,20180409,0.0029306791568233237,2018-04-09
1603051.542247533,20180410,0.012660431883159795,2018-04-10
1594164.8676964256,20180411,-0.005543598765793911,2018-04-11
1611875.657476047,20180412,0.01110976043852574,2018-04-12
1603516.818515419,20180413,-0.005185783978968184,2018-04-13
1611102.121547299,20180416,0.004730416883873101,2018-04-16
1619517.5187964598,20180417,0.005223379161761965,2018-04-17
1607513.894897678,20180418,-0.007411851838257544,2018-04-18
1595817.3534548637,20180419,-0.0072761681749312634,2018-04-19
1594422.3123530075,20180420,-0.0008741859454253209,2018-04-20
1594422.3123530075,20180423,0.0,2018-04-23
1594422.3123530075,20180424,0.0,2018-04-24
1594422.3123530075,20180425,0.0,2018-04-25
1594422.3123530075,20180426,0.0,2018-04-26
1594422.3123530075,20180427,0.0,2018-04-27
1594422.3123530075,20180430,0.0,2018-04-30
1594422.3123530075,20180501,0.0,2018-05-01
1594422.3123530075,20180502,0.0,2018-05-02
1594422.3123530075,20180503,0.0,2018-05-03
1594422.3123530075,20180504,0.0,2018-05-04
1594422.3123530075,20180507,0.0,2018-05-07
1594422.3123530075,20180508,0.0,2018-05-08
1594422.3123530075,20180509,0.0,2018-05-09
1594422.3123530075,20180510,0.0,2018-05-10
1594422.3123530075,20180511,0.0,2018-05-11
1594422.3123530075,20180514,0.0,2018-05-14
1594422.3123530075,20180515,0.0,2018-05-15
1594627.708980068,20180516,0.0001288219723654116,2018-05-16
1594519.083949331,20180517,-6.811936737671775e-05,2018-05-17
1594511.115856171,20180518,-4.997176415333371e-06,2018-05-18
1596554.2197233094,20180521,0.0012813356061438519,2018-05-21
1595442.9729196583,20180522,-0.0006960282274933727,2018-05-22
1595532.1435927162,20180523,5.58908557506399e-05,2018-05-23
1593520.1143945477,20180524,-0.0012610395887343584,2018-05-24
1592145.4891252555,20180525,-0.0008626344009560194,2018-05-25
1585076.9818070475,20180529,-0.004439611434060242,2018-05-29
1592084.9164947586,20180530,0.0044211951647432635,2018-05-30
1585267.6190366326,20180531,-0.004281993622008207,2018-05-31
1591712.725157176,20180601,0.004065626549831336,2018-06-01
1596569.044803735,20180604,0.0030510025897290127,2018-06-04
1595305.35874803,20180605,-0.0007915010376895459,2018-06-05
1608243.9746038215,20180606,0.008110432140681523,2018-06-06
1614844.9447990586,20180607,0.004104458216212636,2018-06-07
1618098.3934869033,20180608,0.0020147127427454503,2018-06-08
1617758.3325122795,20180611,-0.00021016087525493887,2018-06-11
1616099.0772430326,20180612,-0.0010256508873424108,2018-06-12
1605877.2669255282,20180613,-0.006324989885485355,2018-06-13
1602385.1370083864,20180614,-0.0021745932824788206,2018-06-14
1596623.6877376984,20180615,-0.0035955458757215286,2018-06-15
1590598.07041834,20180618,-0.003773974647649392,2018-06-18
1572884.8886430394,20180619,-0.011136177080009801,2018-06-19
1569508.840097196,20180620,-0.002146405353767533,2018-06-20
1561301.1437175302,20180621,-0.005229468079426369,2018-06-21
