id,trader,estimator,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,train_profit,valid_profit,train_reward,valid_reward,observation
25,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,888.96,0.0,2.338,0.0,Baseline
26,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,39.06,461.624,0.694,2.319,Baseline
27,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,134.441,0.0,2.31,0.0,Baseline
28,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,472.565,583.075,1.813,3.402,Baseline
29,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,5.331,1250.709,0.7,6.08,Baseline
30,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-68.991,793.427,0.469,4.685,Baseline
31,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-1.632,0.0,0.004,0.0,Baseline
32,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-3.71,47.636,0.032,0.235,Baseline
33,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-0.504,16.034,0.012,0.088,Baseline
34,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-816.186,0.0,1.592,0.0,Baseline
35,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,4902.324,0.0,5.624,0.0,Baseline
36,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-486.592,64.969,1.442,0.903,Baseline
37,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-522.259,2397.609,0.856,13.54,Baseline
38,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-0.076,0.0,0.002,0.0,Baseline
39,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,51.3,131.009,0.24,0.592,Baseline
40,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-27.724,0.0,0.021,0.0,Baseline
41,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-378.8,0.0,9.226,0.0,Baseline
42,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-358.89,1806.406,6.005,15.523,Baseline
43,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-358.89,1806.406,6.005,15.523,Baseline
44,DQNFixedTargets,BaseEstimator,AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,10000,1000,-16.937,0,0.133,0.0,Baseline
